seq,gender,age,job,marital,province,city,choice
1,MALE,50대,중소기업직원,MARREID,부산시,해운대구,A
2,FEMALE,30대,연구원,SINGLE,경상도,하동군,D
3,FEMALE,30대,자영업,MARREID,부산시,사하구,B
4,FEMALE,40대,자영업,MARREID,부산시,사하구,D
5,FEMALE,40대,의사,MARREID,서울시,강남구,C
6,MALE,50대,회사직원,SINGLE,부산시,사하구,G
7,MALE,30대,임시직,MARREID,서울시,강남구,H
8,FEMALE,60대 이상,임시직,SINGLE,서울시,강남구,C
9,MALE,20대,학생,MARREID,부산시,해운대구,D
10,FEMALE,50대,임시직,MARREID,경기도,포천시,D
11,MALE,20대,중소기업직원,MARREID,경상도,거제시,C
12,FEMALE,20대,중소기업직원,MARREID,서울시,강북구,B
13,MALE,50대,자영업,SINGLE,서울시,강남구,D
14,FEMALE,40대,벤처직원,SINGLE,경기도,포천시,H
15,MALE,50대,기자,MARREID,서울시,강남구,A
16,MALE,20대,학생,MARREID,충청도,청주시,E
17,FEMALE,50대,중소기업직원,MARREID,부산시,사하구,D
18,FEMALE,50대,공무원,MARREID,서울시,강남구,D
19,FEMALE,40대,임시직,MARREID,서울시,강남구,B
20,FEMALE,40대,변호사,MARREID,서울시,양천구,H
21,FEMALE,50대,자영업,MARREID,전라도,해남군,E
22,FEMALE,20대,자영업,MARREID,서울시,양천구,B
23,FEMALE,40대,교수,MARREID,전라도,곡성군,C
24,FEMALE,50대,연구원,MARREID,서울시,양천구,B
25,FEMALE,20대,자영업,SINGLE,부산시,해운대구,D
26,FEMALE,50대,임시직,SINGLE,충청도,청주시,H
27,FEMALE,30대,벤처직원,SINGLE,부산시,진구,E
28,MALE,50대,회사직원,MARREID,서울시,강북구,D
29,FEMALE,40대,연구원,MARREID,경상도,함안군,C
30,MALE,50대,임시직,SINGLE,충청도,청주시,A
31,FEMALE,40대,임시직,SINGLE,전라도,광양시,C
32,FEMALE,40대,자영업,SINGLE,서울시,강북구,G
33,FEMALE,30대,교수,MARREID,경상도,거제시,B
34,FEMALE,40대,연구원,MARREID,경기도,안양시,C
35,MALE,40대,변호사,SINGLE,충청도,홍성군,G
