seq,prefer,frequency,wineFrequency
1,¥Áµµ,5,4
2,±Ì¿Ã∞®,2,1
3,±Ì¿Ã∞®,4,1
4,¥Áµµ,1,1
5,±Ì¿Ã∞®,1,1
6,±Ì¿Ã∞®,3,2
7,¥Áµµ,1,1
8,±Ì¿Ã∞®,3,2
9,±Ì¿Ã∞®,2,1
10,¥Áµµ,1,1
11,±Ì¿Ã∞®,3,1
12,¥Áµµ,2,1
13,±Ì¿Ã∞®,2,1
14,±Ì¿Ã∞®,2,1
15,¥Áµµ,1,1
16,±Ì¿Ã∞®,2,1
17,±Ì¿Ã∞®,2,1
18,¥Áµµ,1,1
19,¥Áµµ,3,2
20,¥Áµµ,3,2
21,¥Áµµ,3,2
22,±Ì¿Ã∞®,1,1
23,±Ì¿Ã∞®,1,1
24,¥Áµµ,3,2
25,¥Áµµ,2,1
26,¥Áµµ,1,1
27,±Ì¿Ã∞®,3,1
28,±Ì¿Ã∞®,1,1
29,¥Áµµ,2,1
30,¥Áµµ,1,1
31,¥Áµµ,4,3
32,¥Áµµ,3,1
33,¥Áµµ,3,2
34,±Ì¿Ã∞®,1,1
35,±Ì¿Ã∞®,4,2
36,±Ì¿Ã∞®,3,1
37,±Ì¿Ã∞®,4,1
38,¥Áµµ,5,2
39,±Ì¿Ã∞®,3,2
40,¥Áµµ,2,1
41,±Ì¿Ã∞®,1,1
42,±Ì¿Ã∞®,3,2
43,±Ì¿Ã∞®,2,1
44,¥Áµµ,1,1
45,±Ì¿Ã∞®,5,1
46,±Ì¿Ã∞®,3,1
47,¥Áµµ,1,1
48,¥Áµµ,2,1
49,±Ì¿Ã∞®,2,1
50,¥Áµµ,4,3
51,¥Áµµ,2,1
52,¥Áµµ,5,2
53,±Ì¿Ã∞®,3,2
54,¥Áµµ,3,1
55,±Ì¿Ã∞®,2,1
56,±Ì¿Ã∞®,2,1
57,¥Áµµ,1,1
58,¥Áµµ,2,1
59,¥Áµµ,2,1
60,±Ì¿Ã∞®,2,1
61,±Ì¿Ã∞®,1,1
62,±Ì¿Ã∞®,1,1
63,±Ì¿Ã∞®,1,1
64,¥Áµµ,3,2
65,¥Áµµ,1,1
66,¥Áµµ,5,1
67,¥Áµµ,3,1
68,¥Áµµ,5,3
69,±Ì¿Ã∞®,4,2
70,±Ì¿Ã∞®,1,1
71,¥Áµµ,4,1
72,¥Áµµ,4,2
73,±Ì¿Ã∞®,2,1
74,±Ì¿Ã∞®,3,1
75,¥Áµµ,3,2
76,±Ì¿Ã∞®,3,1
77,±Ì¿Ã∞®,1,1
78,¥Áµµ,4,3
79,±Ì¿Ã∞®,2,1
80,±Ì¿Ã∞®,2,1
81,±Ì¿Ã∞®,2,1
82,±Ì¿Ã∞®,3,2
83,±Ì¿Ã∞®,2,1
84,¥Áµµ,1,1
85,¥Áµµ,2,1
86,¥Áµµ,1,1
87,±Ì¿Ã∞®,3,2
88,±Ì¿Ã∞®,2,1
89,¥Áµµ,2,1
90,¥Áµµ,2,1
91,¥Áµµ,2,1
92,±Ì¿Ã∞®,2,1
93,¥Áµµ,1,1
94,¥Áµµ,1,1
95,¥Áµµ,1,1
96,¥Áµµ,5,1
97,±Ì¿Ã∞®,2,1
98,±Ì¿Ã∞®,3,2
99,¥Áµµ,3,2
100,¥Áµµ,2,1
101,±Ì¿Ã∞®,2,1
102,¥Áµµ,2,1
103,¥Áµµ,1,1
104,±Ì¿Ã∞®,1,1
105,¥Áµµ,3,1
106,¥Áµµ,1,1
107,¥Áµµ,3,1
108,¥Áµµ,3,2
109,¥Áµµ,1,1
110,±Ì¿Ã∞®,1,1
111,±Ì¿Ã∞®,4,1
112,±Ì¿Ã∞®,5,3
113,¥Áµµ,2,1
114,±Ì¿Ã∞®,3,1
115,¥Áµµ,4,1
116,¥Áµµ,1,1
117,±Ì¿Ã∞®,2,1
118,±Ì¿Ã∞®,1,1
119,¥Áµµ,4,2
120,±Ì¿Ã∞®,5,1
121,±Ì¿Ã∞®,2,1
122,¥Áµµ,1,1
123,¥Áµµ,1,1
124,±Ì¿Ã∞®,1,1
125,±Ì¿Ã∞®,5,1
126,¥Áµµ,1,1
127,¥Áµµ,1,1
128,±Ì¿Ã∞®,5,3
129,¥Áµµ,6,3
130,¥Áµµ,1,1
131,¥Áµµ,3,2
132,±Ì¿Ã∞®,1,1
133,±Ì¿Ã∞®,2,1
134,¥Áµµ,2,1
135,¥Áµµ,3,1
136,¥Áµµ,2,1
137,¥Áµµ,5,4
138,¥Áµµ,1,1
139,±Ì¿Ã∞®,3,2
140,¥Áµµ,3,1
141,±Ì¿Ã∞®,4,3
142,±Ì¿Ã∞®,2,1
143,±Ì¿Ã∞®,3,2
144,±Ì¿Ã∞®,2,1
145,±Ì¿Ã∞®,2,1
146,¥Áµµ,2,1
147,±Ì¿Ã∞®,5,1
148,±Ì¿Ã∞®,2,1
149,¥Áµµ,2,1
150,¥Áµµ,2,1
151,¥Áµµ,3,2
152,¥Áµµ,2,1
153,¥Áµµ,1,1
154,¥Áµµ,1,1
155,¥Áµµ,3,2
156,¥Áµµ,3,1
157,±Ì¿Ã∞®,3,1
158,¥Áµµ,3,2
159,¥Áµµ,4,2
160,±Ì¿Ã∞®,2,1
161,±Ì¿Ã∞®,6,4
162,±Ì¿Ã∞®,3,1
163,¥Áµµ,2,1
164,±Ì¿Ã∞®,2,1
165,±Ì¿Ã∞®,1,1
166,±Ì¿Ã∞®,2,1
167,±Ì¿Ã∞®,3,1
168,¥Áµµ,2,1
169,±Ì¿Ã∞®,2,1
170,±Ì¿Ã∞®,3,1
171,¥Áµµ,3,1
172,±Ì¿Ã∞®,2,1
173,¥Áµµ,2,1
174,±Ì¿Ã∞®,2,1
175,±Ì¿Ã∞®,2,1
176,±Ì¿Ã∞®,2,1
177,¥Áµµ,3,1
178,¥Áµµ,5,3
179,¥Áµµ,5,3
180,¥Áµµ,2,1
181,±Ì¿Ã∞®,2,1
182,¥Áµµ,2,1
183,¥Áµµ,1,1
184,±Ì¿Ã∞®,3,2
185,¥Áµµ,2,1
186,¥Áµµ,2,1
187,¥Áµµ,3,1
188,±Ì¿Ã∞®,2,1
189,±Ì¿Ã∞®,2,1
190,±Ì¿Ã∞®,2,1
191,¥Áµµ,3,1
192,±Ì¿Ã∞®,2,1
193,¥Áµµ,1,1
194,±Ì¿Ã∞®,3,2
195,±Ì¿Ã∞®,4,3
196,¥Áµµ,3,1
197,¥Áµµ,1,1
198,¥Áµµ,1,1
199,±Ì¿Ã∞®,3,2
200,¥Áµµ,2,1
