seq,side,choice1
1,Annon,A
2,Roquefort,B
3,Cheddar,G
4,Gorgonzola,B
5,Gorgonzola,C
6,Camenbert,C
7,Annon,F
8,Annon,H
9,Brie,A
10,Valencay,B
11,Brie,E
12,Annon,E
13,Ricotta,E
14,Annon,E
15,Cheddar,D
16,Gorgonzola,E
17,Valencay,B
18,Cheddar,D
19,Gorgonzola,C
20,Ricotta,C
21,Camenbert,C
22,Roquefort,A
23,Valencay,B
24,Brie,G
25,Annon,C
26,Brie,D
27,Camenbert,E
28,Gorgonzola,H
29,Roquefort,G
30,Camenbert,E
31,Ricotta,G
32,Valencay,D
33,Ricotta,D
34,Annon,D
35,Roquefort,G
36,Gorgonzola,F
37,Brie,A
38,Cheddar,A
39,Camenbert,A
40,Ricotta,C
41,Brie,C
42,Valencay,H
43,Cheddar,F
44,Annon,E
45,Gorgonzola,F
46,Brie,G
47,Annon,E
48,Roquefort,E
49,Ricotta,F
50,Gorgonzola,B
51,Ricotta,A
52,Camenbert,H
53,Brie,E
54,Cheddar,D
55,Valencay,G
56,Ricotta,D
57,Gorgonzola,F
58,Gorgonzola,C
59,Cheddar,D
60,Ricotta,F
61,Gorgonzola,E
62,Roquefort,E
63,Gorgonzola,D
64,Brie,D
65,Camenbert,B
66,Brie,B
67,Cheddar,A
68,Roquefort,D
69,Valencay,C
70,Annon,F
71,Cheddar,D
72,Camenbert,D
73,Ricotta,F
74,Camenbert,F
75,Camenbert,D
76,Annon,E
77,Cheddar,E
78,Gorgonzola,B
79,Valencay,D
80,Camenbert,H
81,Gorgonzola,G
82,Gorgonzola,B
83,Annon,E
84,Camenbert,A
85,Valencay,A
86,Valencay,A
87,Brie,B
88,Annon,D
89,Ricotta,C
90,Ricotta,B
91,Ricotta,C
92,Valencay,F
93,Cheddar,G
94,Camenbert,E
95,Gorgonzola,C
96,Gorgonzola,D
97,Camenbert,H
98,Brie,F
99,Roquefort,D
100,Roquefort,C
101,Annon,D
102,Annon,H
103,Annon,E
104,Brie,E
105,Camenbert,E
106,Annon,F
107,Ricotta,A
108,Valencay,G
109,Brie,C
110,Annon,E
111,Annon,A
112,Ricotta,H
113,Camenbert,G
114,Valencay,B
115,Cheddar,C
116,Camenbert,B
117,Annon,D
118,Roquefort,D
119,Cheddar,C
120,Valencay,C
121,Cheddar,D
122,Camenbert,B
123,Cheddar,B
124,Roquefort,D
125,Camenbert,H
126,Ricotta,E
127,Valencay,D
128,Valencay,F
129,Ricotta,E
130,Cheddar,B
131,Gorgonzola,E
132,Annon,G
133,Brie,H
134,Annon,D
135,Annon,B
136,Brie,E
137,Cheddar,D
138,Valencay,B
139,Valencay,F
140,Brie,H
141,Gorgonzola,D
142,Roquefort,B
143,Cheddar,C
